category,index,month-day,year,title,abstract
FeElectric,WOS:000348600200017,15-Feb,2015,Giant switchable photovoltaic effect in organometal trihalide perovskite devices,"Organolead trihalide perovskite (OTP) materials are emerging as naturally abundant materials for low-cost, solution-processed and highly effcient solar cells(1-9). Here, we show that, in OTP-based photovoltaic devices with vertical and lateral cell configurations, the photocurrent direction can be switched repeatedly by applying a small electric field of < 1V mu m(-1). The switchable photocurrent, generally observed in devices based on ferroelectric materials, reached 20.1 mAcm(-2) under one sun illumination in OTP devices with a vertical architecture, which is four orders of magnitude larger than lthat measured in other ferroelectric photovoltaic devices(10,11). This field-switchable photovoltaic effect can be explained by the formation of reversible p-i-n structures induced by ion drift in the perovskite layer. The demonstration of switchable OTP photovoltaics and electric-field-manipulated doping paves the way for innovative solar cell designs and for the exploitation of OTP materials in electrically and optically readable memristors and circuits."
FeElectric,WOS:000362041300009,2015,2015,Inorganic caesium lead iodide perovskite solar cells,"The vast majority of perovskite solar cell research has focused on organic-inorganic lead trihalide perovskites. Herein, we present working inorganic CsPbI3 perovskite solar cells for the first time. CsPbI3 normally resides in a yellow non-perovskite phase at room temperature, but by careful processing control and development of a low-temperature phase transition route we have stabilised the material in the black perovskite phase at room temperature. As such, we have fabricated solar cell devices in a variety of architectures, with current-voltage curve measured efficiency up to 2.9% for a planar heterojunction architecture, and stabilised power conversion efficiency of 1.7%. The well-functioning planar junction devices demonstrate long-range electron and hole transport in this material. Importantly, this work identifies that the organic cation is not essential, but simply a convenience for forming lead triiodide perovskites with good photovoltaic properties. We additionally observe significant rate-dependent current-voltage hysteresis in CsPbI3 devices, despite the absence of the organic polar molecule previously thought to be a candidate for inducing hysteresis via ferroelectric polarisation. Due to its space group, CsPbI3 cannot be a ferroelectric material, and thus we can conclude that ferroelectricity is not required to explain current-voltage hysteresis in perovskite solar cells. Our report of working inorganic perovskite solar cells paves the way for further developments likely to lead to much more thermally stable perovskite solar cells and other optoelectronic devices."
FeElectric,WOS:000350191900001,15-Jun,2015,Transferring lead-free piezoelectric ceramics into application,"After twenty years of partly quiet and ten years of partly enthusiastic research into lead-free piezoceramics there are now clear prospects for transfer into applications in some areas. This mimics prior research into eliminating lead from other technologies that resulted in restricted lead use in batteries and dwindling use in other applications. A figure of merit analysis for key devices is presented and used to contrast lead-containing and lead-free piezoceramics. A number of existing applications emerge, where the usage of lead-free piezoceramics may be envisaged in the near future. A sufficient transition period to ensure reliability, however, is required. The use of lead-free piezoceramics for demanding applications with high reliability, displacements and frequency as well as a wide temperature range appears to remain in the distant future. New devices are outlined, where the figure of merit suggests skipping lead-containing piezoceramics altogether. Suggestions for the next pertinent research requirements are provided. (C) 2014 Elsevier Ltd. All rights reserved."
FeElectric,WOS:000348031800008,JAN 21 2015,2015,Core-Shell Structured High-k Polymer Nanocomposites for Energy Storage and Dielectric Applications,"High-k polymer nanocomposites have considerable potential in energy storage and dielectric applications because of their ease of processing, flexibility, and low cost. Core-shell nanoarchitecture strategies are versatile and powerful tools for the design and synthesis of advanced high-k polymer nanocomposites. Recent and in-progress state-of-the-art advancements in the application of core-shell nanoarchitecture strategies to design and prepare high-k polymer nanocomposites are summarized. Special focus is directed to emphasizing their advantages over conventional melt-mixing and solution-mixing methods: first, homogeneous nanoparticle dispersion can be easily achieved even in highly loaded nanocomposites; second, the dielectric constant of the nanocomposites can be effectively enhanced and meanwhile the high breakdown strength can be well-preserved; third, for nanocomposites filled with electrically conductive nanoparticles, dielectric loss can be effectively surpressed, and meanwhile a high dielectric constant can be achieved. In addition, fundamental insights into the roles of the interfaces on the dielectric properties of the nanocomposites can be probed. The last part of the article is concluded with current problems and future perspectives of utilizing the core-shell nanoarchitecture strategies for the development of high-k polymer nanocomposites."
FeElectric,WOS:000374274700004,13-Apr,2016,"Recent Progress on Ferroelectric Polymer-Based Nanocomposites for High Energy Density Capacitors: Synthesis, Dielectric Properties, and Future Aspects","Dielectric polymer nanocomposites are rapidly emerging as novel materials for a number of advanced engineering applications. In this Review, we present a comprehensive review of the use of ferroelectric polymers, especially PVDF and PVDF-based copolymers/blends as potential components in dielectric nanocomposite materials for high energy density capacitor applications. Various parameters like dielectric constant, dielectric loss, breakdown strength, energy density, and flexibility of the polymer nanocomposites have been thoroughly investigated. Fillers with different shapes have been found to cause significant variation in the physical and electrical properties. Generally, one-dimensional and two-dimensional nanofillers with large aspect ratios provide enhanced flexibility versus zero-dimensional fillers. Surface modification of nanomaterials as well as polymers adds flavor to the dielectric properties of the resulting nanocomposites. Nowadays, three-phase nanocomposites with either combination of fillers or polymer matrix help in further improving the dielectric properties as compared to two-phase nanocomposites. Recent research has been focused on altering the dielectric properties of different materials while also maintaining their superior flexibility. Flexible polymer nanocomposites are the best candidates for application in various fields. However, certain challenges still present, which can be solved only by extensive research in this field."
FeElectric,WOS:000355533000012,15-May,2015,The dynamics of methylammonium ions in hybrid organic-inorganic perovskite solar cells,"Methylammonium lead iodide perovskite can make high-efficiency solar cells, which also show an unexplained photocurrent hysteresis dependent on the device-poling history. Here we report quasielastic neutron scattering measurements showing that dipolar CH3NH3+ ions reorientate between the faces, corners or edges of the pseudo-cubic lattice cages in CH3NH3PbI3 crystals with a room temperature residence time of similar to 14 ps. Free rotation, p-flips and ionic diffusion are ruled out within a 1-200-ps time window. Monte Carlo simulations of interacting CH3NH3+ dipoles realigning within a 3D lattice suggest that the scattering measurements may be explained by the stabilization of CH3NH3+ in either antiferroelectric or ferroelectric domains. Collective realignment of CH3NH3+ to screen a device's built-in potential could reduce photovoltaic performance. However, we estimate the timescale for a domain wall to traverse a typical device to be similar to 0.1-1 ms, faster than most observed hysteresis."
FeElectric,WOS:000370453900015,16-Feb,2016,Lewis Acid-Base Adduct Approach for High Efficiency Perovskite Solar Cells,"CONSPECTUS: Since the first report on the long-term durable 9.7% solid-state perovskite solar cell employing methylammonium lead iodide (CH3NH3PbI3), mesoporous TiO2, and 2,2',7,7'-tetralds[N,N-di(4-methoxyphenyl)amino]-9,9'-spirobifluorene (spiro-MeOTAD) in 2012, following the seed technologies on perovskitesensitized liquid junction solar cells in 2009 and 2011, a surge of interest has been focused on perovskite solar cells due to superb photovoltaic performance and extremely facile fabrication processes. The power conversion efficiency (PCE) of perovskite solar cells reached 21% in a very short period of time. Such an unprecedentedly high photovoltaic performance is due to the intrinsic optoelectronic property of organolead iodide perovskite material. Moreover, a high dielectric constant, sub-millimeter scale carrier diffusion length, an underlying ferroelectric property, and ion migration behavior can make organolead halide perovskites suitable for multifunctionality. Thus, besides solar cell applications, perovskite material has recently been applied to a variety fields of materials science such as photodetectors, light emitting diodes, lasing, X-ray imaging, resistive memory, and water splitting. Regardless of application areas, the growth of a well-defined perovskite layer with high crystallinity is essential for effective utilization of its excellent physicochemical properties. Therefore, an effective methodology for preparation of high quality perovskite layers is required.In this Account, an effective methodology for production of high quality perovskite layers is described, which is the Lewis acid base adduct approach. In the solution process to form the perovskite layer, the key chemicals of CH3NH3I (or HC(NH2)(2)I) and PbI2 are used by dissolving them in polar aprotic solvents. Since polar aprotic solvents bear oxygen, sulfur, or nitrogen, they can act as a Lewis base. In addition, the main group compound PIA, is known to be a Lewis acid. Thus, PbI2 has a chance to form an adduct by reacting with the Lewis base. Crystal growth and morphology of perovskite can be controlled by taking advantage of the weak chemical interaction in the adduct. We have successfully fabricated highly reproducible CH3NH3PbI3 perovskite solar cells with PCE as high as 19.7% via adducts of PbI2 with oxygen-donor N,N'-dimethyl sulfoxide. This adduct approach has been found to be generally adopted, where formamidinium lead iodide perovskite, HC(NH2)(2)PbI3 (FAPbI(3)), with large grain, high crystallinity, and long-lived carrier lifetime was successfully fabricated via an adduct of PbI2 with sulfur-donor thiourea as Lewis base. The adduct approach proposed in this Account is a very promising methodology to achieve high quality perovskite films with high photovoltaic performance. Furthermore, single crystal growth on the conductive substrate is expected to be possible if we kinetically control the elimination of Lewis base in the adduct."
FeElectric,WOS:000371130800001,16-Feb,2016,Ionic polarization-induced current-voltage hysteresis in CH3NH3PbX3 perovskite solar cells,"CH3NH3PbX3 (MAPbX(3)) perovskites have attracted considerable attention as absorber materials for solar light harvesting, reaching solar to power conversion efficiencies above 20%. In spite of the rapid evolution of the efficiencies, the understanding of basic properties of these semiconductors is still ongoing. One phenomenon with so far unclear origin is the so-called hysteresis in the current-voltage characteristics of these solar cells. Here we investigate the origin of this phenomenon with a combined experimental and computational approach. Experimentally the activation energy for the hysteretic process is determined and compared with the computational results. First-principles simulations show that the timescale for MA(+) rotation excludes a MA-related ferroelectric effect as possible origin for the observed hysteresis. On the other hand, the computationally determined activation energies for halide ion (vacancy) migration are in excellent agreement with the experimentally determined values, suggesting that the migration of this species causes the observed hysteretic behaviour of these solar cells."
FeElectric,WOS:000346828000016,15-Jan,2015,Bandgap tuning of multiferroic oxide solar cells,"Multiferroic films are increasingly being studied for applications in solar energy conversion because of their efficient ferroelectric polarization-driven carrier separation and above-bandgap generated photovoltages, which in principle can lead to energy conversion efficiencies beyond the maximum value (similar to 34%) reported in traditional silicon-based bipolar heterojunction solar cells. However, the efficiency reported so far is still too low (<2%) to be considered for commercialization. Here, we demonstrate a new approach to effectively tune the bandgap of double perovskite multiferroic oxides by engineering the cationic ordering for the case of Bi2FeCrO6. Using this approach, we report a power conversion efficiency of 8.1% under AM 1.5 G irradiation (100 mWcm(-2)) for Bi2FeCrO6 thin-film solar cells in a multilayer configuration."
FeElectric,WOS:000364700200002,11-Nov,2015,Ultrasensitive and Broadband MoS2 Photodetector Driven by Ferroelectrics,"A few-layer MoS2 photodetector driven by poly(vinylidene fluoride-trifluoroethylene) ferroelectrics is achieved. The detectivity and responsitivity are up to 2.2 x 10(12) Jones and 2570 A W-1, respectively, at 635 nm with ZERO gate bias. E-g of MoS2 is tuned by the ultra-high electrostatic field from the ferroelectric polarization. The photo response wavelengths of the photo detector are extended into the near-infrared (0.85-1.55 mu m)."
