category,index,s1,r,s2
FeElectric,WOS:000348600200017,Organolead trihalide perovskite material,be emerge as,naturally abundant material for low-cost solar cell
FeElectric,WOS:000348600200017,photocurrent direction,be,switch repeatedly
FeElectric,WOS:000348600200017,photocurrent direction,apply,small electric field of < 1v mu m
FeElectric,WOS:000348600200017,photocurrent direction,be switch repeatedly in,otp-based photovoltaic device with vertical cell configuration
FeElectric,WOS:000348600200017,otp-based photovoltaic device,be with,vertical cell configuration
FeElectric,WOS:000348600200017,photocurrent,reach,20.1 macm
FeElectric,WOS:000348600200017,one sun illumination,be in,OTP device
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of reversible p-i-n structure induce by ion drift in perovskite layer
FeElectric,WOS:000348600200017,exploitation,be in,electrically readable memristor
FeElectric,WOS:000348600200017,demonstration,pave,way for innovative solar cell design for exploitation of otp material in electrically readable memristor
